id,name,department,access_logs
1,Turbo,IT,low
2,Turik,Sport,high
3,Anya,Taxes,medium
4,Turbo,Technologies,low
5,Danil,Technologies,medium
6,Artur,Business,high
7,Lexa,Technologies,admin
8,Tanya,IT,admin
9,Sasha,Sport,low
10,Danil,Taxes,admin
11,Artur,Business,admin
12,Lexa,Technologies,high
13,Artem,Technologies,high
14,Artur,Taxes,high
15,Bulat,Technologies,medium
16,Turik,Technologies,medium
17,Turik,IT,admin
18,Bulat,IT,medium
19,Danil,Audit,admin
20,Lexa,Audit,low
21,Artur,IT,high
22,Turbo,Jurisdiction,admin
23,Anya,Banki,admin
24,Anya,Sport,low
25,Danil,Jurisdiction,medium
26,Sasha,Audit,low
27,Sasha,Technologies,admin
28,Lexa,Banki,medium
29,Turik,IT,high
30,Danil,Banki,admin
31,Turik,Technologies,admin
32,Artur,Jurisdiction,low
33,Artem,Business,admin
34,Turbo,Jurisdiction,admin
35,Artur,Sport,low
36,Anya,Taxes,medium
37,Turik,Jurisdiction,admin
38,Lexa,Taxes,admin
39,Turbo,Sport,admin
40,Bulat,Banki,medium
41,Anya,IT,low
42,Turik,Jurisdiction,medium
43,Artur,Audit,high
44,Anya,Taxes,admin
45,Anya,Banki,medium
46,Artur,IT,high
47,Artur,IT,admin
48,Danil,Banki,low
49,Artem,Technologies,medium
50,Artur,IT,high
51,Anya,Taxes,admin
52,Turbo,IT,low
53,Anya,IT,medium
54,Anya,Jurisdiction,high
55,Sasha,Sport,medium
56,Anya,Technologies,low
57,Tanya,Sport,low
58,Turik,IT,high
59,Danil,Audit,high
60,Bulat,Technologies,low
61,Turik,IT,medium
62,Sasha,Business,medium
63,Anya,IT,admin
64,Artem,Audit,high
65,Artem,Technologies,high
66,Bulat,Banki,high
67,Sasha,Jurisdiction,medium
68,Danil,Audit,medium
69,Tanya,Business,medium
70,Tanya,Jurisdiction,medium
71,Turbo,Audit,high
72,Turbo,Technologies,high
73,Bulat,Taxes,high
74,Turik,IT,low
75,Artur,Taxes,admin
76,Anya,IT,medium
77,Bulat,Banki,medium
78,Lexa,Banki,admin
79,Turik,IT,medium
80,Artem,Sport,admin
81,Artur,Technologies,low
82,Artur,Business,admin
83,Sasha,Sport,medium
84,Artem,Sport,admin
85,Artem,Jurisdiction,low
86,Lexa,Jurisdiction,high
87,Sasha,Jurisdiction,medium
88,Tanya,Jurisdiction,medium
89,Bulat,IT,medium
90,Artur,Audit,medium
91,Danil,Audit,high
92,Artem,IT,medium
93,Artur,Banki,low
94,Bulat,Banki,low
95,Anya,Taxes,admin
96,Tanya,Business,low
97,Artur,Audit,medium
98,Danil,Technologies,admin
99,Danil,Sport,high
100,Lexa,Banki,high
